Componente,Quantidade,Pacotes
AdminPanelProvider,1,VITRINE_ENTERPRISE_6_RC3_CLEAN_PROVIDER
AiArchitectFinalService,1,FACTORY_4_0_FINALIZATION_PACK
AiCenterEnterprise,2,VITRINE_AI_PRO_ENTERPRISE_6_0_RC2 | VITRINE_ENTERPRISE_6_RC2_UI_HOTFIX
AiDashboard,1,VITRINE_ENTERPRISE_6_RC2_1_CLEANUP
BuildHistoryService,1,FACTORY_MACRO_PACK_01_v3_0
ClientPortalEnterprise,2,VITRINE_AI_PRO_ENTERPRISE_6_0_RC2 | VITRINE_ENTERPRISE_6_RC2_UI_HOTFIX
CommercialFactoryIntakeCommand,1,VITRINE_AI_PRO_ENTERPRISE_6_0_RC1
CommercialFactoryIntakeService,1,VITRINE_AI_PRO_ENTERPRISE_6_0_RC1
CommercialFactoryStatusCommand,2,VITRINE_AI_PRO_ENTERPRISE_6_0_RC1 | VITRINE_AI_PRO_ENTERPRISE_6_0_RC2
CommercialFactoryStatusService,3,ENTERPRISE_7_STATUS_SYNC_PATCH | VITRINE_AI_PRO_ENTERPRISE_6_0_RC1 | VITRINE_AI_PRO_ENTERPRISE_6_0_RC2
CommercialProductResolver,1,VITRINE_AI_PRO_ENTERPRISE_6_0_RC1
Dashboard,2,VITRINE_ENTERPRISE_6_RC2_1_CLEANUP | VITRINE_ENTERPRISE_6_RC3_CLEAN_PROVIDER
DecisionEngine,1,FACTORY_MACRO_PACK_01_v3_0
DocumentationGenerator,1,FACTORY_MACRO_PACK_01_v3_0
EnterpriseBuildInstaller,1,FACTORY_ENTERPRISE_MATURITY_PACK_5_1
EnterpriseCodeGenerator,1,FACTORY_ENTERPRISE_MATURITY_PACK_5_1
EnterpriseDashboard,5,VITRINE_AI_PRO_ENTERPRISE_6_0_RC1 | VITRINE_AI_PRO_ENTERPRISE_6_0_RC2 | VITRINE_AI_PRO_ENTERPRISE_UI_1_0 | VITRINE_ENTERPRISE_6_RC2_1_CLEANUP | VITRINE_ENTERPRISE_6_RC2_UI_HOTFIX
EnterpriseNameService,1,FACTORY_ENTERPRISE_MATURITY_PACK_5_1
EnterpriseNextGenStatusCommand,1,VITRINE_AI_PRO_ENTERPRISE_10_0_NEXTGEN_UI_BASE
EnterpriseProductionEngine,2,FACTORY_FULL_RELEASE_1_0_PRODUCTION_READY | FACTORY_PRODUCTION_ENGINE_ENTERPRISE_1_0
FactoryArchitectRequestCommand,1,FACTORY_4_0_FINALIZATION_PACK
FactoryBlueprintCatalogService,1,VITRINE_AI_PRO_ENTERPRISE_9_10_BASE
FactoryBuildQueueService,1,VITRINE_AI_PRO_ENTERPRISE_9_10_BASE
FactoryBuildQueueStatusCommand,1,VITRINE_AI_PRO_ENTERPRISE_9_10_BASE
FactoryDecisionCommand,1,FACTORY_MACRO_PACK_01_v3_0
FactoryDocsCommand,1,FACTORY_MACRO_PACK_01_v3_0
FactoryEnqueueSiteOrdersCommand,1,VITRINE_AI_PRO_ENTERPRISE_9_10_BASE
FactoryEnterpriseBuildCommand,1,FACTORY_ENTERPRISE_MATURITY_PACK_5_1
FactoryEnterpriseInstallCommand,1,FACTORY_ENTERPRISE_MATURITY_PACK_5_1
FactoryEvolutionCommand,1,FACTORY_MACRO_PACK_01_v3_0
FactoryFinalizeRequestCommand,1,FACTORY_4_0_FINALIZATION_PACK
FactoryFinishProjectCommand,1,FACTORY_5_0_REAL_BUILDER_ENGINE
FactoryHistoryCommand,1,FACTORY_MACRO_PACK_01_v3_0
FactoryInstallFinalCommand,1,FACTORY_4_0_FINALIZATION_PACK
FactoryInstallSystemCommand,1,FACTORY_FINAL_PRODUCER_1_0
FactoryProcessBuildQueueCommand,1,VITRINE_AI_PRO_ENTERPRISE_9_10_BASE
FactoryProduceCommand,1,FACTORY_PRODUCTION_ENGINE_v1_0
FactoryProduceEnterpriseCommand,2,FACTORY_FULL_RELEASE_1_0_PRODUCTION_READY | FACTORY_PRODUCTION_ENGINE_ENTERPRISE_1_0
FactoryProduceRequestCommand,1,FACTORY_FINAL_PRODUCER_1_0
FactoryProductCommand,1,FACTORY_MACRO_PACK_01_v3_0
FactoryProductionOrchestrator,1,FACTORY_PRODUCTION_ENGINE_v1_0
FactoryProductionStatusCommand,1,FACTORY_PRODUCTION_ENGINE_v1_0
FactoryRealBuildCommand,1,FACTORY_5_0_REAL_BUILDER_ENGINE
FactoryRealInstallCommand,1,FACTORY_5_0_REAL_BUILDER_ENGINE
FactoryReleaseManager,1,FACTORY_MACRO_PACK_01_v3_0
FactoryReleaseStatusCommand,1,FACTORY_MACRO_PACK_01_v3_0
FactorySmartQa2Command,1,FACTORY_MACRO_PACK_01_v3_0
FactoryStudio,2,FACTORY_STUDIO_UI_1_0 | VITRINE_ENTERPRISE_6_RC2_1_CLEANUP
FactoryStudioEnterprise,3,VITRINE_AI_PRO_ENTERPRISE_6_0_RC1 | VITRINE_AI_PRO_ENTERPRISE_UI_1_0 | VITRINE_ENTERPRISE_6_RC2_UI_HOTFIX
FactoryWorkflowCommand,1,FACTORY_MACRO_PACK_01_v3_0
FinalizationProductionService,1,FACTORY_4_0_FINALIZATION_PACK
FinishProjectService,1,FACTORY_5_0_REAL_BUILDER_ENGINE
GeneratedProjects,3,VITRINE_AI_PRO_ENTERPRISE_6_0_RC1 | VITRINE_AI_PRO_ENTERPRISE_UI_1_0 | VITRINE_ENTERPRISE_6_RC2_UI_HOTFIX
MarketplaceEnterprise,3,VITRINE_AI_PRO_ENTERPRISE_6_0_RC1 | VITRINE_AI_PRO_ENTERPRISE_UI_1_0 | VITRINE_ENTERPRISE_6_RC2_UI_HOTFIX
NextGenOperationDashboardController,2,VITRINE_AI_PRO_ENTERPRISE_10_0_NEXTGEN_OPERATIONS_UI_BASE | VITRINE_AI_PRO_ENTERPRISE_10_0_NEXTGEN_UI_BASE
NextGenOperationMetricsService,1,VITRINE_AI_PRO_ENTERPRISE_10_0_NEXTGEN_UI_BASE
OperationDashboardController,1,VITRINE_AI_PRO_ENTERPRISE_9_10_BASE
ProduceRequestPipeline,1,FACTORY_FINAL_PRODUCER_1_0
ProductGenerator,1,FACTORY_MACRO_PACK_01_v3_0
ProductRequestResolver,1,FACTORY_FINAL_PRODUCER_1_0
ProductionStatusService,1,FACTORY_PRODUCTION_ENGINE_v1_0
RealBuildInstaller,1,FACTORY_5_0_REAL_BUILDER_ENGINE
RealBuilderNameService,1,FACTORY_5_0_REAL_BUILDER_ENGINE
RealCodeGenerator,1,FACTORY_5_0_REAL_BUILDER_ENGINE
SiteCommercialOrderService,2,VITRINE_AI_PRO_ENTERPRISE_7_0_INTEGRATED_COMMERCE_BASE | VITRINE_AI_PRO_ENTERPRISE_8_0_AUTO_PROVISIONING_BASE
SiteContratarController,1,VITRINE_AI_PRO_ENTERPRISE_7_0_INTEGRATED_COMMERCE_BASE
SiteOrderProvisioningService,1,VITRINE_AI_PRO_ENTERPRISE_8_0_AUTO_PROVISIONING_BASE
SiteOrderTimelineService,1,VITRINE_AI_PRO_ENTERPRISE_8_1_PROVISIONING_CONTROL_CENTER
SiteOrdersControlCenter,1,VITRINE_AI_PRO_ENTERPRISE_8_1_PROVISIONING_CONTROL_CENTER
SiteOrdersHomologateCommand,1,VITRINE_AI_PRO_ENTERPRISE_8_1_PROVISIONING_CONTROL_CENTER
SiteOrdersRepairStatusCommand,1,VITRINE_AI_PRO_ENTERPRISE_8_0_AUTO_PROVISIONING_BASE
SiteOrdersReportCommand,1,VITRINE_AI_PRO_ENTERPRISE_8_1_PROVISIONING_CONTROL_CENTER
SiteOrdersStatusCommand,2,VITRINE_AI_PRO_ENTERPRISE_7_0_INTEGRATED_COMMERCE_BASE | VITRINE_AI_PRO_ENTERPRISE_8_0_AUTO_PROVISIONING_BASE
SiteOrdersSyncCommercialCommand,1,VITRINE_AI_PRO_ENTERPRISE_8_1_PROVISIONING_CONTROL_CENTER
SiteProvisionPendingCommand,1,VITRINE_AI_PRO_ENTERPRISE_8_0_AUTO_PROVISIONING_BASE
SmartFinalInstallerService,1,FACTORY_4_0_FINALIZATION_PACK
SmartQa2Service,1,FACTORY_MACRO_PACK_01_v3_0
SystemInstallPlanner,1,FACTORY_FINAL_PRODUCER_1_0
WorkflowDesigner,1,FACTORY_MACRO_PACK_01_v3_0
