pacote,total,php,blade,migrations,seeders,commands
vitrine-ai-pro-master-start_1_,86,71,0,8,7,0
vitrine-ai-pro-master-start,86,71,0,8,7,0
MASTER_1.3_BUILD_01_CENTRO_IA,52,49,0,7,2,0
vitrine-ai-pro-master-enterprise-2.0.1-sidebar-factory-patch_1_,45,42,0,0,0,0
vitrine-ai-pro-master-enterprise-2.0.1-sidebar-factory-patch_3_,45,42,0,0,0,0
vitrine-ai-pro-master-enterprise-2.0.1-sidebar-factory-patch_2_,45,42,0,0,0,0
vitrine-ai-pro-master-enterprise-2.0.1-sidebar-factory-patch_5_,45,42,0,0,0,0
vitrine-ai-pro-master-enterprise-2.0.1-sidebar-factory-patch_4_,45,42,0,0,0,0
vitrine-ai-pro-master-enterprise-2.0.1-sidebar-factory-patch,45,42,0,0,0,0
master-start-1-4-modulos-funcionalidades-patch,26,24,0,4,1,0
MASTER_2.0_OPERACIONAL,21,19,0,1,0,0
vitrine-ai-pro-master-enterprise-2.0.1-REAL-sidebar-factory-patch,21,18,0,0,0,0
master-start-1-1-1-patch,17,15,0,4,1,0
master-start-1-5-financeiro-contratos-cobranca-patch,17,15,0,2,0,0
master-start-1-8-suporte-chamados-patch,13,11,1,1,0,0
MASTER_1.4_CENTRO_IA_OPERACIONAL,12,10,1,0,0,0
master-start-1-6-dashboard-executivo-patch,11,9,1,0,0,0
master-start-1-7-area-cliente-patch,11,9,1,1,0,0
vitrine-ai-pro-master-enterprise-2.0-layout-update,12,7,3,0,0,0
MASTER_1.5_CENTRO_IA_EXECUCAO_REAL,8,6,2,0,0,0
master-start-1-2-comercial-avancado-patch,8,6,0,1,0,0
MASTER_2.0.1_HOTFIX_HEYGEN,7,5,0,0,0,0
vitrine-ai-pro-master-enterprise-2.0.3-REAL-enterprise-ui-pages,9,5,3,0,0,0
MASTER_1.7_EXECUCAO_REAL,6,4,0,0,0,0
vitrine-ai-pro-master-enterprise-2.0-build-02_1_,9,4,2,0,0,0
vitrine-ai-pro-master-enterprise-2.0-build-02,9,4,2,0,0,0
MASTER_1.6_ASAAS_WEBHOOK_OPERACIONAL,6,4,0,1,0,0
master-start-1-7-1-area-cliente-seguranca-admin-patch,6,4,0,1,0,0
master-start-1-5-1-valores-automaticos-patch,5,3,0,0,0,0
master-start-1-7-4-login-area-cliente-patch,5,3,1,0,0,0
master-start-1-6-2-correcao-dashboard-alertas-patch,5,3,0,0,0,0
master-start-1-3-api-leads-patch,5,3,0,0,0,0
master-start-1-6-3-identidade-visual-dashboard-patch,5,3,1,0,0,0
FACTORY_FINAL_MASTER_1_0,7,2,0,0,0,1
master-start-1-7-3-area-cliente-dados-instancia-patch,4,2,1,0,0,0
master-start-1-6-1-correcao-dashboard-widgets-patch,4,2,0,0,0,0
master-start-1-7-5-logout-area-cliente-patch,4,2,1,0,0,0
vitrine-ai-pro-master-enterprise-2.0.2-REAL-dashboard-ui-patch,6,2,1,0,0,0
MASTER_1.4.1_PATCH_CENTRO_IA_OPERACIONAL_SEED,3,1,0,0,0,0
master-start-1-5-2-correcao-cobrancas-select-patch,3,1,0,0,0,0
vitrine-ai-pro-master-enterprise-2.0.4-dashboard-hotfix,5,1,0,0,0,0
master-start-1-2-1-comercial-inteligente-patch,3,1,0,0,0,0
MASTER_1.4.2_PATCH_CENTRO_IA_SEED_FIX,3,1,0,0,0,0
master-start-1-7-4-correcao-rota-login-cliente-patch,3,1,0,0,0,0
master-start-1-7-2-correcao-usuarios-cliente-select-patch,3,1,0,0,0,0
