pacote,total,php,blade,migrations,seeders,commands
backup_TV_2,14246,10025,343,22,9,0
backup_TV,14253,10023,343,22,9,0
backup_TV_3,186,123,0,0,0,0
TVSUMARE_ENTERPRISE_2.0_BUILD_01_2_,146,90,0,0,0,0
TVSUMARE_ENTERPRISE_2.0_BUILD_02,147,90,0,0,0,0
TVSUMARE_ENTERPRISE_1.0_MASTER_BUILD_1.0.2_NOTICIAS_CORRIGIDAS,145,90,0,0,0,0
TVSUMARE_ENTERPRISE_2.0_BUILD_01,146,90,0,0,0,0
TVSUMARE_ENTERPRISE_1.0_HOMOLOGACAO_FINAL_MASTER,142,89,0,0,0,0
TVSUMARE_ENTERPRISE_1.0_MASTER_BUILD_1.0.1,143,89,0,0,0,0
TVSUMARE_ENTERPRISE_1.0_MASTER_BUILD_1.0.1_LOGIN_CORRIGIDO,144,89,0,0,0,0
TVSUMARE_ENTERPRISE_1.0_HOMOLOGACAO_FINAL,136,88,0,0,0,0
tvsumare_site_hostgator_ENTERPRISE_1_FINAL_APROVACAO_EM_MASSA,115,48,0,0,0,0
tvsumare_ENTERPRISE_REFINO_FINAL_LINKS_BOTOES_HOMOLOGACAO,13,9,0,0,0,0
